iter	Passed	Remaining
0	29	14531
1	58	14638
2	88	14709
3	105	13032
4	134	13282
5	163	13433
6	194	13666
7	221	13625
8	249	13586
9	280	13730
10	310	13794
11	342	13911
12	366	13732
13	394	13692
14	422	13652
15	451	13652
16	483	13748
17	528	14151
18	573	14522
19	611	14680
20	647	14759
21	682	14826
22	715	14848
23	751	14910
24	781	14846
25	815	14872
26	854	14967
27	890	15017
28	924	15009
29	963	15099
30	993	15025
31	1023	14966
32	1062	15039
33	1096	15029
34	1132	15050
35	1164	15006
36	1193	14935
37	1227	14918
38	1260	14900
39	1286	14792
40	1314	14720
41	1338	14598
42	1374	14610
43	1402	14531
44	1430	14462
45	1462	14435
46	1491	14377
47	1520	14320
48	1553	14301
49	1589	14305
50	1618	14250
51	1650	14220
52	1682	14189
53	1712	14146
54	1739	14072
55	1773	14065
56	1803	14020
57	1838	14014
58	1870	13977
59	1896	13909
60	1924	13852
61	1952	13794
62	1983	13757
63	2017	13743
64	2047	13702
65	2078	13665
66	2111	13642
67	2139	13592
68	2171	13564
69	2215	13611
70	2257	13640
71	2287	13595
72	2315	13546
73	2346	13507
74	2373	13448
75	2400	13391
76	2429	13347
77	2455	13285
78	2483	13234
79	2515	13205
80	2547	13175
81	2577	13137
82	2601	13070
83	2632	13038
84	2660	12988
85	2694	12969
86	2722	12924
87	2749	12874
88	2776	12821
89	2805	12778
90	2831	12724
91	2860	12687
92	2889	12644
93	2919	12610
94	2947	12567
95	2978	12533
96	3011	12513
97	3054	12530
98	3085	12497
99	3114	12456
100	3148	12436
101	3186	12432
102	3219	12409
103	3261	12418
104	3291	12381
105	3321	12344
106	3358	12337
107	3388	12297
108	3416	12255
109	3450	12233
110	3477	12185
111	3510	12160
112	3542	12133
113	3575	12106
114	3607	12076
115	3643	12062
116	3673	12026
117	3700	11980
118	3737	11965
119	3766	11927
120	3801	11906
121	3837	11889
122	3866	11852
123	3896	11816
124	3923	11770
125	3948	11721
126	3975	11676
127	4006	11644
128	4037	11612
129	4071	11586
130	4103	11559
131	4135	11528
132	4166	11496
133	4194	11455
134	4221	11413
135	4249	11374
136	4281	11344
137	4311	11308
138	4338	11268
139	4365	11225
140	4393	11186
141	4422	11148
142	4447	11104
143	4473	11058
144	4501	11019
145	4528	10979
146	4557	10944
147	4593	10924
148	4621	10887
149	4651	10853
150	4683	10824
151	4713	10790
152	4740	10750
153	4769	10716
154	4804	10693
155	4833	10658
156	4861	10619
157	4890	10586
158	4921	10554
159	4947	10513
160	4976	10478
161	5006	10446
162	5039	10419
163	5081	10410
164	5113	10382
165	5152	10366
166	5193	10355
167	5226	10328
168	5255	10294
169	5286	10261
170	5318	10232
171	5358	10218
172	5385	10179
173	5415	10146
174	5445	10112
175	5471	10073
176	5502	10041
177	5542	10025
178	5571	9991
179	5608	9971
180	5638	9937
181	5669	9906
182	5701	9876
183	5729	9839
184	5767	9819
185	5799	9790
186	5838	9773
187	5876	9752
188	5903	9713
189	5933	9680
190	5962	9645
191	5989	9607
192	6018	9574
193	6052	9546
194	6092	9530
195	6124	9499
196	6159	9473
197	6191	9444
198	6215	9400
199	6245	9368
200	6277	9338
201	6308	9306
202	6337	9272
203	6372	9246
204	6401	9211
205	6443	9196
206	6472	9161
207	6500	9126
208	6527	9087
209	6554	9051
210	6581	9015
211	6615	8987
212	6645	8954
213	6672	8917
214	6702	8884
215	6729	8848
216	6756	8811
217	6784	8776
218	6813	8742
219	6844	8711
220	6880	8685
221	6910	8653
222	6943	8625
223	6972	8590
224	7004	8561
225	7043	8539
226	7081	8517
227	7113	8486
228	7151	8462
229	7183	8433
230	7211	8398
231	7250	8375
232	7289	8352
233	7316	8317
234	7345	8283
235	7376	8251
236	7407	8220
237	7435	8184
238	7473	8161
239	7506	8132
240	7539	8102
241	7571	8072
242	7608	8046
243	7638	8014
244	7665	7978
245	7700	7950
246	7728	7915
247	7760	7885
248	7791	7853
249	7818	7818
250	7851	7789
251	7879	7754
252	7913	7726
253	7944	7693
254	7974	7662
255	8007	7631
256	8042	7603
257	8074	7574
258	8112	7548
259	8147	7520
260	8177	7488
261	8204	7453
262	8238	7423
263	8264	7387
264	8292	7353
265	8322	7321
266	8350	7286
267	8382	7256
268	8411	7223
269	8439	7189
270	8473	7160
271	8503	7127
272	8533	7095
273	8567	7066
274	8610	7044
275	8643	7015
276	8667	6977
277	8703	6950
278	8738	6922
