iter	Logloss
0	0.4459825996
1	0.3442157438
2	0.297836079
3	0.2737350313
4	0.2633941785
5	0.2580045093
6	0.2550170671
7	0.2541736429
8	0.2492042335
9	0.247579855
10	0.2457742189
11	0.2444701594
12	0.243217617
13	0.2411439512
14	0.2402497302
15	0.2397206073
16	0.2392463564
17	0.2386800652
18	0.2380967802
19	0.237431852
20	0.236666882
21	0.2362121307
22	0.2356205671
23	0.2354449533
24	0.2352450233
25	0.2351231643
26	0.2348952307
27	0.2343575441
28	0.2336490425
29	0.2330722221
30	0.2321321672
31	0.2317279051
32	0.2311822475
33	0.2310266315
34	0.230881712
35	0.2305660192
36	0.2301389458
37	0.2299849632
38	0.2296447714
39	0.2290184359
40	0.228588176
41	0.2281392059
42	0.2275794145
43	0.226909201
44	0.2263518556
45	0.2262705387
46	0.2259456205
47	0.2257740043
48	0.2254386438
49	0.2253496988
50	0.2251790566
51	0.2250153969
52	0.2245238127
53	0.224337789
54	0.2241484131
55	0.2237362981
56	0.2230090594
57	0.2226187057
58	0.2222460904
59	0.2216663259
60	0.221323162
61	0.2211115462
62	0.2208501765
63	0.220509537
64	0.2202346185
65	0.2198858806
66	0.2197462136
67	0.2192005728
68	0.2189714836
69	0.2185646713
70	0.2181339702
71	0.2178039253
72	0.2171796368
73	0.2170189269
74	0.2168123995
75	0.216324239
76	0.2159591019
77	0.2154211986
78	0.2147038415
79	0.2141899577
80	0.2136677593
81	0.2133326769
82	0.2129578294
83	0.2125652017
84	0.211966431
85	0.2114517481
86	0.2110397005
87	0.2105211948
88	0.2104418725
89	0.2101933064
90	0.2097708951
91	0.2095464542
92	0.2091608817
93	0.2091150154
94	0.2089846935
95	0.2087879292
96	0.2087255631
97	0.208633608
98	0.208188124
99	0.2079789989
