iter	Passed	Remaining
0	18	1877
1	41	2035
2	62	2026
3	85	2040
4	106	2028
5	129	2022
6	153	2038
7	169	1947
8	192	1944
9	215	1943
10	241	1956
11	264	1937
12	286	1919
13	310	1909
14	332	1882
15	356	1869
16	378	1848
17	401	1829
18	425	1812
19	441	1765
20	464	1747
21	492	1747
22	519	1739
23	540	1712
24	599	1799
25	631	1798
26	663	1793
27	682	1755
28	708	1735
29	741	1730
30	765	1702
31	788	1674
32	810	1646
33	835	1622
34	857	1593
35	880	1565
36	903	1538
37	929	1516
38	959	1500
39	994	1491
40	1026	1477
41	1059	1462
42	1089	1444
43	1123	1430
44	1153	1410
45	1179	1384
46	1200	1353
47	1229	1331
48	1252	1303
49	1274	1274
50	1294	1243
51	1315	1214
52	1335	1184
53	1355	1155
54	1379	1128
55	1409	1107
56	1433	1081
57	1456	1054
58	1479	1027
59	1504	1003
60	1531	979
61	1554	952
62	1575	925
63	1598	898
64	1623	874
65	1650	850
66	1692	833
67	1725	811
68	1754	788
69	1782	763
70	1816	742
71	1841	716
72	1871	692
73	1900	667
74	1927	642
75	1953	616
76	1975	590
77	1998	563
78	2022	537
79	2046	511
80	2070	485
81	2095	459
82	2119	434
83	2142	408
84	2166	382
85	2188	356
86	2213	330
87	2237	305
88	2261	279
89	2285	253
90	2308	228
91	2335	203
92	2363	177
93	2385	152
94	2409	126
95	2431	101
96	2455	75
97	2478	50
98	2500	25
99	2523	0
